surface,query,observed_result,rank_or_visible_range,observed_page_or_entity,notes
Google Search,見觀結構-東區工作室,商家面板已建立,前10未見東區官方頁,官網首頁為第一個官方自然結果,地址電話產品服務與預約入口可辨識
Google Search,台南東區 脊醫,未見官網,可見前8未見,,
Google Search,台南東區 整復推拿,官網首頁出現,3,https://www.observe888.com/,
Google Search,台南東區 運動按摩,未見官網,可見前9未見,,
Google Search,台南東區 筋膜放鬆,未見官網,可見前10未見,,
Google Search,台南東區 結構調理,官網首頁出現,1,https://www.observe888.com/,見觀 Facebook 第2；官方服務或費用頁第5
Google Search,台南東區 整復,官網首頁出現,3,https://www.observe888.com/,
Google Search,台南東區 推拿,官網首頁出現,1,https://www.observe888.com/,
Google Maps,台南東區 脊醫,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 整復推拿,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 運動按摩,未見東區工作室,可見前7未見,見觀結構-東區工作室,
Google Maps,台南東區 筋膜放鬆,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 結構調理,未見東區工作室,可見前10未見,見觀結構-東區工作室,南區店第9
Google Maps,台南東區 整復,未見東區工作室,可見9筆自然結果未見,見觀結構-東區工作室,另有1筆贊助排除
Google Maps,台南東區 推拿,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 徒手調理,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 整骨,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 美式整復,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 肌肉放鬆,未見東區工作室,可見前8未見,見觀結構-東區工作室,
Google Maps,台南東區 全身調理,未見東區工作室,可見前10未見,見觀結構-東區工作室,
Google Maps,台南東區 筋膜刀,未見東區工作室,可見前3未見,見觀結構-東區工作室,
